Data Set 1:Wavelength(nm),Data Set 1:Absorbance,aaa:Wavelength(nm),aaa:Absorbance
380,0.12085128614272,,
381.19999999999999,0.11786428920573666,,
382.30000000000001,0.11331988983474139,,
383.39999999999998,0.10845898136018306,,
384.60000000000002,0.1022185910264326,,
385.69999999999999,0.092964855251886469,,
386.80000000000001,0.081674417035546121,,
388,0.071222173621933393,,
389.10000000000002,0.061974646377920939,,
390.30000000000001,0.056791154223903684,,
391.39999999999998,0.053127703222443534,,
392.5,0.05187800756085803,,
393.69999999999999,0.050829253921442996,,
394.80000000000001,0.050886260827615715,,
395.89999999999998,0.050421866485514277,,
397.10000000000002,0.050324892787448894,,
398.19999999999999,0.04870014322522187,,
399.30000000000001,0.048111602786073959,,
400.5,0.047486036279243304,,
401.60000000000002,0.047497147212454793,,
402.80000000000001,0.047250187897277973,,
403.89999999999998,0.046907397638022319,,
405,0.046331691904773153,,
406.19999999999999,0.045329977293306678,,
407.30000000000001,0.043608154987287095,,
408.39999999999998,0.04224201832290464,,
409.60000000000002,0.040802400375024028,,
410.69999999999999,0.039483142958915529,,
411.89999999999998,0.038386036996804318,,
413,0.037316906694121466,,
414.10000000000002,0.036336643073809682,,
415.30000000000001,0.035993747219179584,,
416.39999999999998,0.03556038951849283,,
417.5,0.034997009334829743,,
418.69999999999999,0.034229176424888763,,
419.80000000000001,0.033365554767687877,,
421,0.033099389855077543,,
422.10000000000002,0.032306329876484741,,
423.19999999999999,0.03164474673334694,,
424.39999999999998,0.031322717384603571,,
425.5,0.030821782541194942,,
426.60000000000002,0.030815916972385615,,
427.80000000000001,0.030057972618049433,,
428.89999999999998,0.03010944835808238,,
430,0.02985180318750813,,
431.19999999999999,0.029877490036609888,,
432.30000000000001,0.02933952160384079,,
433.5,0.028866956189016024,,
434.60000000000002,0.028600366428918722,,
435.69999999999999,0.028435392526352521,,
436.89999999999998,0.028245678083136161,,
438,0.027899668961744117,,
439.10000000000002,0.027815766689517796,,
440.30000000000001,0.028013214074225523,,
441.39999999999998,0.028093680069720683,,
442.60000000000002,0.027732558538678731,,
443.69999999999999,0.027640277682009273,,
444.80000000000001,0.027105522337312893,,
446,0.027199553809305277,,
447.10000000000002,0.026813461947619466,,
448.19999999999999,0.027193481769655525,,
449.39999999999998,0.0269636522916048,,
450.5,0.026970118725120784,,
451.69999999999999,0.026355220208687413,,
452.80000000000001,0.026337972978715429,,
453.89999999999998,0.026415507476710287,,
455.10000000000002,0.02646910739534647,,
456.19999999999999,0.026667284899190458,,
457.30000000000001,0.026732317992587795,,
458.5,0.027045107537158719,,
459.60000000000002,0.026491961354946136,,
460.69999999999999,0.025984653721518702,,
461.89999999999998,0.025676748697217588,,
463,0.025913080867191685,,
464.19999999999999,0.026383007936945591,,
465.30000000000001,0.025964244358814392,,
466.39999999999998,0.0257204180498809,,
467.60000000000002,0.024927166726738559,,
468.69999999999999,0.025272485408152745,,
469.80000000000001,0.02506961409883135,,
471,0.02536500966469446,,
472.10000000000002,0.025444015342981796,,
473.30000000000001,0.025743576704572613,,
474.39999999999998,0.025562201968078346,,
475.5,0.025548423677006715,,
476.69999999999999,0.025585228653729253,,
477.80000000000001,0.025502159692140092,,
478.89999999999998,0.025299246703506917,,
480.10000000000002,0.025171688882398957,,
481.19999999999999,0.025199185441207916,,
482.39999999999998,0.025065444153257399,,
483.5,0.024900805688857774,,
484.60000000000002,0.02434613000729402,,
485.80000000000001,0.024300422772082664,,
486.89999999999998,0.024559981036609058,,
488,0.024787266214871595,,
489.19999999999999,0.024596706923703193,,
490.30000000000001,0.024097999802856762,,
491.39999999999998,0.024959667483978043,,
492.60000000000002,0.025985506788862578,,
493.69999999999999,0.026352778117957998,,
494.89999999999998,0.025757698760208392,,
496,0.025120059557683483,,
497.10000000000002,0.025331789180502495,,
498.30000000000001,0.025352639766665241,,
499.39999999999998,0.025600860785468971,,
500.5,0.025914891843447529,,
501.69999999999999,0.026873298732704498,,
502.80000000000001,0.02710779279001585,,
504,0.027971474440579236,,
505.10000000000002,0.028324632306460762,,
506.19999999999999,0.029053912397080106,,
507.39999999999998,0.029638467693651638,,
508.5,0.030238687101942441,,
509.60000000000002,0.031077500467666219,,
510.80000000000001,0.031462425732328381,,
511.89999999999998,0.032221115878693141,,
513,0.033148473809327728,,
514.10000000000002,0.03459905319563461,,
515.20000000000005,0.0360075681682408,,
516.29999999999995,0.03765426702336927,,
